ROOMNAME,BEDNAME
CCU Room 201 ST (ICU/CCU),11
Daycare NT (Day Care),50
Haematology & Oncology Daycare Adult (Day Care Chemo),35
Haematology & Oncology Daycare Paeds (Day Care Chemo (Private)),11
ICU NT  (ICU/CCU),16
ICU ST 1 (ICU/CCU),9
NICU NT (NICU),8
NT PAED HDU (HDU),16
ROOM 102 (Day Care),32
Room 206 (Executive Suite),1
Room 207 (Double Bed),2
Room 208 (Double Bed),2
Room 209 (Double Bed),2
Room 210 (Double Bed),2
Room 211 (Double Bed),2
Room 212 (Single Bed),1
Room 213 (Single Bed),1
Room 214 (Single Bed),1
Room 215 (Single Bed),1
Room 216 (Single Bed),1
Room 217 (Single Bed),1
Room 218 (Four Bedded),2
Room 219 (Double Bed),2
Room 220 (Executive Suite),1
Room 221 (Double Bed),2
Room 222 (Double Bed),2
Room 223 (Single Bed),1
Room 224 (Single Bed),1
Room 225 (Single Bed),1
Room 226 (Single Bed),1
Room 255 (Single Executive),2
Room 256 (Double Bed),4
Room 257 (Double Bed),4
Room 258 (Double Bed),4
Room 260 (Single Bed),2
Room 261 (Single Bed),2
Room 262 (Single Bed),2
Room 263 (Single Bed),2
Room 264 (Single Bed),2
Room 265 (Single Bed),2
Room 266 (Single Bed),2
Room 267 (Single Bed),2
Room 268 (Suite),2
Room 269 (Single Bed),2
Room 270 (Single Bed),2
Room 271 (Single Bed),2
Room 272 (Single Bed),2
Room 273 (Four Bedded),4
Room 274 (Double Bed),4
Room 275 (Double Bed),4
Room 276 (Phototherapy),12
Room 277 (Double Bed),4
Room 278 (Single Bed),2
Room 279 (Single Bed),2
Room 280 (Single Bed),2
Room 281 (Suite),2
Room 282 (Suite),2
Room 283 (Single Bed),2
Room 284 (Single Bed),2
Room 285 (Single Bed),2
Room 288 (Double Bed),6
Room 289 (Double Bed),6
Room 290 (Double Bed),6
Room 291 (Double Bed),6
Room 292-1E (Single Executive),2
Room 299 (Admission Lounge),28
Room 301 (Double Bed),2
Room 302 (Double Bed),2
Room 303 (Double Bed),2
Room 304 (Double Bed),2
Room 305 (Double Bed),2
Room 306 (Suite),1
Room 307 (Single Bed),1
Room 308 (Single Bed),1
Room 309 (Double Bed),2
Room 310 (Double Bed),2
Room 311 (Double Bed),2
Room 312 (Double Bed),2
Room 313 (Double Bed),2
Room 314 (Double Bed),2
Room 315 (Single Bed),1
Room 316 (Single Bed),1
Room 317 (Single Bed),1
Room 318 (Single Bed),1
Room 319 (Single Bed),1
Room 320 (Single Bed),1
Room 321 (Four Bedded),3
Room 322 (Four Bedded),3
Room 323  (Double Bed),3
Room 324 (Double Bed),3
Room 325 (Four Bedded),3
Room 326 (Suite),1
Room 327 (Single Bed),1
Room 329 (Four Bedded),8
Room 330 (Double Bed),3
Room 331 (Double Bed),3
Room 332 (Double Bed),3
Room 333 (Double Bed),3
Room 334 (Double Bed),3
Room 335 (Single Bed),1
Room 336 (Single Bed),1
Room 337 (Single Bed),1
Room 338 (Single Bed),1
Room 339 (Single Bed),1
Room 349 (Phototherapy),20
Room 350 (Nursery Bed),80
Room 351 (Incubator),10
Room 352 (NHDU),8
Room 353 (Double Bed),6
Room 354 (Double Bed),4
Room 355 (Single Bed),2
Room 356 (Single Bed),2
Room 357 (Single Bed),2
Room 358 (Single Bed),2
Room 359 (Single Bed),2
Room 360 (Single Bed),2
Room 361 (Single Bed),2
Room 362 (Single Bed),2
Room 363 (Single Bed),2
Room 364 (Single Bed),2
Room 365 (Suite),4
Room 366 (Single Bed),2
Room 367 (Single Bed),2
Room 368 (Single Bed),2
Room 369 (Single Bed),2
Room 370 (Double Bed),4
Room 371 (Double Bed),4
Room 372 (Double Bed),6
Room 373 (Double Bed),6
Room 374 (Double Bed),4
Room 375 (Double Bed),4
Room 376 (Single Bed),2
Room 377 (Single Bed),2
Room 378 (Single Bed),2
Room 379 (Single Bed),2
Room 401 (Double Bed),3
Room 402 (Double Bed),3
Room 403 (Double Bed),3
Room 404 (Double Bed),3
Room 405 (Double Bed),3
Room 406 (Deluxe Suite),1
Room 407 (Single Bed),1
Room 408 (Single Bed),1
Room 409 (Double Bed),3
Room 410 (Four Bedded),3
Room 411 (Four Bedded),3
Room 412 (Four Bedded),3
Room 413 (Four Bedded),3
Room 414 (Single Bed),4
Room 416 (Single Bed),4
Room 417 (Single Bed),1
Room 418 (Single Bed),1
Room 419 (Single Bed),1
Room 420 (Single Bed),1
Room 421 (HDU),6
Room 422 (Double Bed),3
Room 423 (Single Bed),1
Room 424 (Single Bed),1
Room 425 (Single Bed),1
Room 426 (Single Bed),1
Room 427 (Double Bed),3
Room 428 (Double Bed),3
Room 429 (Double Bed),3
Room 430 (Double Bed),3
Room 431 (Double Bed),3
Room 432 (Double Bed),3
Room 433 (Double Bed),3
Room 434 (Single Bed),1
Room 435 (Single Bed),1
Room 436 (Single Bed),1
Room 437 (Single Bed),1
Room 438 (Single Bed),1
Room 450 (Single Bed),2
Room 451 (Single Bed),2
Room 452 (Single Bed),2
Room 453 (Single Bed),4
Room 454 (Single Bed),2
Room 455 (Single Bed),2
Room 456 (Single Bed),2
Room 457 (Single Bed),2
Room 458 (Single Bed),2
Room 459 (Suite),2
Room 460 (Single Bed),2
Room 461 (Single Bed),2
Room 462 (Single Bed),2
Room 463 (Single Bed),2
Room 464 (Double Bed),6
Room 465 (Double Bed),6
Room 466 (Double Bed),6
Room 467 (Double Bed),6
Room 468 (Double Bed),6
Room 469 (Four Bedded),6
Room 470 (Four Bedded),6
Room 471 (Executive Suite),2
Room 472 (Executive Suite),2
Room 490 (Observation Room),20
Room 491 (Observation Room),2
Room 495 (Delivery Bed),20
Room 501 (Double Bed),2
Room 502 (Double Bed),2
Room 503 (Double Bed),2
Room 504 (Double Bed),2
Room 505 (Double Bed),2
Room 506 (Double Bed),2
Room 507 (Single Bed),1
Room 508 (Single Bed),1
Room 509 (Single Bed),1
Room 510 (Single Bed),1
Room 511 (Single Bed),1
Room 512 (Single Bed),1
Room 513 (Double Bed),2
Room 514 (Double Bed),2
Room 515 (Four Bedded),2
Room 516 (Four Bedded),2
Room 517 (Double Bed),2
Room 518 (Single Bed),1
Room 519 (Single Bed),1
Room 520 (Single Bed),1
Room 521 (Single Bed),1
Room 522 (Double Bed),4
Room 523 (Double Bed),4
Room 524 (Double Bed),4
Room 525 (Double Bed),2
Room 526 (Double Bed),2
Room 527 (Double Bed),2
Room 528 (Double Bed),2
Room 529 (Single Bed),1
Room 530 (Single Bed),1
Room 531 (Single Bed),1
Room 532 (Single Bed),1
Room 533 (Single Bed),1
Room 535-VS (Golden Suite Wing),1
Room 535V-1 (VVIP Suite),1
Room 536V-1 (VVIP Suite),1
Room 538V-1 (VVIP Suite),1
Room 550 (Single Bed),2
Room 551 (Single Bed),2
Room 552 (Single Bed),2
Room 553 (Single Bed),2
Room 554 (Single Bed),2
Room 555 (Single Bed),2
Room 556 (Single Bed),2
Room 557 (Single Bed),2
Room 558 (Single Bed),2
Room 559 (Single Bed),2
Room 560 (Single Bed),2
Room 561 (Single Bed),2
Room 562 (Single Bed),2
Room 563 (Double Bed),4
Room 564 (Double Bed),4
Room 565 (Four Bedded),4
Room 566 (Double Bed),4
Room 567 (Double Bed),4
Room 568 (Four Bedded),4
Room 569 (Single Bed),2
Room 570 (Single Bed),2
Room 571 (Single Bed),2
Room 572 (Single Bed),2
Room 573 (Single Bed),2
Room 574 (Single Bed),2
Room 575 (Single Bed),2
Room 576 (Single Bed),2
Room 577 (Single Bed),2
Room 578 (Suite),2
Room 579 (Single Bed),2
Room 580 (Single Bed),2
Room 581 (Single Bed),2
Room 582 (Single Bed),2
Room 583 (Four Bedded),3
Room 584 (Four Bedded),2
Room 585 (Double Bed),2
Room 586 (Double Bed),2
Room 587 (Double Bed),2
Room 588 (Four Bedded),2
Room G03 (Day Care),10
